Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
5938,5938,None,6,6.94962391971e-30,2.20686272761e-17,0.999999998964,1.03601476585e-09,None,None,0.0
5939,5939,None,4,1.21575142959e-17,4.38158969976e-16,1.0,1.17581459425e-20,None,None,0.0
5940,5940,None,4,1.36773077391e-17,4.92932595032e-16,1.0,1.17581459425e-20,None,None,0.0
5941,5941,None,4,4.75445744684e-24,1.10549981637e-22,1.0,7.58594410392e-21,None,None,0.0
5942,5942,None,4,1.17936055034e-18,2.74223267648e-17,1.0,7.58594401743e-21,None,None,0.0
5943,5943,None,4,7.97102240022e-21,1.85341099332e-19,1.0,7.58594401743e-21,None,None,0.0
5944,5944,None,4,2.37907320111e-23,8.57714420852e-22,1.0,1.17621532984e-20,None,None,0.0
5945,5945,None,4,4.77953866778e-16,1.11133165422e-14,1.0,7.58594401743e-21,None,None,0.0
5946,5946,None,4,1.96409071792e-18,4.5668762998e-17,1.0,7.58594401743e-21,None,None,0.0
5947,5947,None,4,1.44215799632e-18,3.35328562672e-17,1.0,7.58594401743e-21,None,None,0.0
5948,5948,None,4,2.24189250977e-18,5.21281714543e-17,1.0,7.58594401743e-21,None,None,0.0
5949,5949,None,1,1.4666997251e-29,7.06791769361e-09,0.804601418095,0.195398581905,None,None,0.0
5950,5950,None,1,4.00202460986e-31,1.92854611431e-10,0.804601418035,0.195398581965,None,None,0.0
5951,5951,None,4,1.06132810473e-20,3.8250453e-19,1.0,1.17581459425e-20,None,None,0.0
5952,5952,None,1,1.07315264008e-31,5.17144334548e-11,0.804601418081,0.195398581919,None,None,0.0
5953,5953,None,3,2.51350648832e-22,9.05293531172e-21,1.0,1.17506349569e-20,None,None,0.0
5954,5954,None,3,9.03697357092e-25,3.27113824434e-23,1.0,1.18093995039e-20,None,None,0.0
5955,5955,None,3,5.04234755487e-22,1.88344490495e-20,1.0,1.2186305796e-20,None,None,0.0
5956,5956,None,3,1.42487499426e-23,4.52452558613e-11,0.999999998964,1.03597246458e-09,None,None,0.0
5957,5957,None,3,3.12327896195e-21,9.91761076083e-09,0.999999998964,1.03597246458e-09,None,None,0.0
5958,5958,None,3,1.10315349696e-27,3.50294319354e-15,0.999999998964,1.03597452779e-09,None,None,0.0
5959,5959,None,4,5.19857604513e-24,1.87357602042e-22,1.0,1.17581459425e-20,None,None,0.0
5960,5960,None,3,2.19701299979e-23,6.97636350725e-11,0.999999998964,1.03597292124e-09,None,None,0.0
